	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_22_CR003_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_1_CINEMATIC.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_1_CINEMATIC.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_1_CINEMATIC.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_1_CINEMATIC.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_1_CINEMATIC.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_1_CINEMATIC.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_1_CINEMATIC.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_1_CINEMATIC.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_5_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_5_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_5_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_5_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_5_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_5_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_5_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_5_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_5_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_5_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_5_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_5_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_2_CINEMATIC.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_2_CINEMATIC.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_2_CINEMATIC.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_2_CINEMATIC.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_2_CINEMATIC.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_2_CINEMATIC.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_2_CINEMATIC.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_2_CINEMATIC.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_4_CINE_E.c3d
	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z
1	0.31204	1.15823	1.83926	2.43350	-6.70986	0.43782	-17.88145	4.30099	-0.23746	0.61914	1.94616	1.90637	-7.71663	0.40841	-21.91997	3.60628	-0.66154	2.68853	-7.01272	-20.25470	0.07732	2.01025	-8.07002	-18.17219	0.97798	2.21387	-6.57748	-14.84239	-1.58306	0.84006	-7.61067	-24.66310	-1.13419	3.06490	-6.47271	-24.02304	-0.33705	-0.27017	2.16459	4.32843	-7.54040	-8.44999	-18.21813	-17.19533	0.29117	1.41952	-6.81590	-18.49207	0.05245	3.69033	-7.78054	-22.98466	0.60418	-1.58895	-6.91673	-16.91184	-0.98768	-1.02490	-7.76066	-22.00949	0.36134	4.18349	-7.62958	-19.22742	-0.16336	0.93218	-7.43252	-25.22128	0.82336	3.89819	-6.51865	-21.57180	0.33523	-0.40108	2.24241	0.87989	-7.46961	-7.87409	-21.10665	-22.44535	0.88879	6.65000	-7.34714	-18.28914	-0.07896	0.29859	-7.87753	-16.23795	2.13354	-0.42810	1.04256	1.06723	-6.03971	-6.35753	-10.33501	-21.42999	0.44134	0.64139	-7.44222	-17.79394	-1.94116	-2.64818	-7.05059	-15.49779	0.93993	6.09672	-7.84817	-25.67265	-0.32721	-0.91822	-6.46248	-21.22968	-0.07371	3.91125	-7.97079	-24.87941	0.49628	1.92313	-6.37651	-8.81589	-0.73361	-0.10046	-6.62348	-27.58446	2.28408	2.75359	-6.36033	-19.41956	-0.77949	2.28164	-7.99876	-24.61493
2	0.39282	1.17622	2.17850	2.41270	-6.69413	0.45519	-17.79206	4.16165	-0.18027	0.60598	2.28601	1.86464	-7.82127	0.37530	-21.29285	3.66686	-0.63030	2.97416	-7.16742	-20.17801	0.12837	2.36151	-8.16540	-17.32629	1.09464	2.85188	-6.66670	-14.73549	-1.44523	1.15336	-7.68380	-23.61839	-1.04164	3.06127	-6.31192	-23.95007	-0.21803	-0.30589	2.51451	4.26900	-7.68425	-8.40477	-17.47757	-16.83587	0.35910	1.74884	-6.70576	-18.55465	0.10363	4.13644	-7.93239	-22.57951	0.73460	-1.15594	-6.84286	-16.70296	-0.83954	-0.46091	-7.93465	-20.73830	0.38892	4.60231	-7.71618	-18.79655	-0.15429	1.18328	-7.65390	-24.24557	0.93989	4.37687	-6.48359	-20.96407	0.41286	-0.38966	2.73040	1.31956	-7.54605	-7.95540	-20.87077	-22.27449	0.99228	6.66916	-7.13180	-17.49699	-0.00630	0.30747	-7.88476	-14.99142	2.20294	-0.35873	1.56051	1.66392	-6.17661	-6.39356	-10.71695	-22.40238	0.53984	1.22435	-7.69487	-17.71285	-1.92505	-2.46210	-7.15382	-15.64375	0.95638	6.40518	-7.94440	-24.82256	-0.20831	-0.72252	-6.43111	-20.52217	0.00433	4.35877	-8.04204	-23.85274	0.55578	2.13605	-6.17182	-9.19941	-0.70322	0.34773	-6.73167	-27.53424	2.39531	3.19463	-6.36464	-19.22534	-0.78725	2.43956	-8.06063	-24.51222
3	0.50348	1.18994	2.52563	2.40090	-6.60718	0.48860	-17.47367	4.13444	-0.10238	0.59366	2.63162	1.83798	-7.89258	0.34483	-20.55647	3.71867	-0.57334	3.24250	-7.22880	-19.92448	0.19619	2.68184	-8.22194	-16.48642	1.23676	3.46221	-6.68251	-14.39701	-1.28004	1.45341	-7.66434	-22.50375	-0.90957	3.09515	-6.09843	-23.71041	-0.09074	-0.30829	2.86899	4.21758	-7.82627	-8.28554	-16.71166	-16.40593	0.44882	2.00751	-6.51121	-18.40482	0.19435	4.55237	-8.03878	-21.96520	0.89329	-0.65626	-6.70102	-16.35036	-0.64460	0.11980	-8.03896	-19.31715	0.43792	5.03257	-7.74354	-18.19023	-0.11784	1.46210	-7.85097	-23.23148	1.10184	4.85819	-6.43463	-20.23496	0.49523	-0.36239	3.21312	1.75665	-7.67410	-8.01477	-20.49433	-21.97511	1.13316	6.69917	-6.82241	-16.52247	0.09277	0.34289	-7.72503	-13.84332	2.28631	-0.24918	2.03463	2.27334	-6.18518	-6.38743	-10.85600	-23.03160	0.64293	1.74543	-7.94099	-17.49200	-1.87267	-2.27195	-7.10419	-15.59321	0.98756	6.72589	-8.06366	-23.58159	-0.04943	-0.48490	-6.31037	-19.65630	0.10865	4.83299	-8.09931	-22.67835	0.64043	2.40751	-5.94632	-8.98796	-0.66264	0.83491	-6.84675	-27.37960	2.52444	3.65919	-6.34453	-18.77157	-0.78689	2.66639	-8.09734	-24.28116
4	0.65281	1.20078	2.88608	2.39520	-6.46113	0.53151	-16.95315	4.17398	0.00412	0.58424	2.97572	1.82055	-7.89948	0.35104	-19.71248	3.75528	-0.48640	3.50107	-7.21011	-19.49357	0.28924	2.96999	-8.21298	-15.68881	1.40856	4.02943	-6.61848	-13.87201	-1.08079	1.75179	-7.53678	-21.31292	-0.73424	3.18758	-5.85053	-23.29416	0.04666	-0.27015	3.21266	4.19634	-7.92155	-8.07475	-15.91992	-15.90939	0.57407	2.22094	-6.24134	-18.04626	0.33185	4.92833	-8.05207	-21.12785	1.08638	-0.09398	-6.51627	-15.84473	-0.38701	0.71324	-8.02157	-17.75616	0.51599	5.46768	-7.72019	-17.43055	-0.04334	1.75969	-7.98805	-22.20092	1.31898	5.34415	-6.35114	-19.43806	0.58425	-0.31438	3.65763	2.17210	-7.82019	-8.02831	-19.95820	-21.56443	1.32348	6.77671	-6.43918	-15.43832	0.22769	0.43256	-7.38980	-12.80799	2.39669	-0.09192	2.45966	2.87124	-6.08792	-6.35245	-10.68936	-23.30490	0.76086	2.19062	-8.11673	-17.08895	-1.77239	-2.06141	-6.93244	-15.33969	1.04759	7.04967	-8.16628	-21.97115	0.15779	-0.17883	-6.11360	-18.67659	0.24513	5.31634	-8.10939	-21.39669	0.76198	2.74419	-5.72322	-8.41862	-0.60017	1.33985	-6.93722	-27.07660	2.68032	4.13666	-6.29890	-18.05725	-0.77558	2.94493	-8.11653	-23.90721
5	0.85007	1.21024	3.26851	2.38927	-6.26102	0.57805	-16.28300	4.22602	0.14840	0.58185	3.31955	1.80472	-7.80750	0.41330	-18.77588	3.77951	-0.36531	3.76166	-7.12021	-18.89931	0.41807	3.23377	-8.10015	-14.95759	1.61577	4.54993	-6.46351	-13.22470	-0.83899	2.07045	-7.30231	-20.04372	-0.50903	3.36230	-5.59234	-22.69577	0.20011	-0.18548	3.53720	4.22736	-7.92914	-7.76320	-15.10055	-15.35479	0.75083	2.42628	-5.91247	-17.51385	0.52108	5.27253	-7.93004	-20.08660	1.32331	0.52539	-6.29814	-15.21101	-0.05449	1.32641	-7.82577	-16.10839	0.63043	5.89750	-7.64169	-16.56244	0.07945	2.06686	-8.01412	-21.18281	1.59792	5.83875	-6.20441	-18.63205	0.68622	-0.23947	4.04550	2.55838	-7.93172	-7.95919	-19.25418	-21.06779	1.57278	6.92851	-5.99430	-14.33618	0.40740	0.61014	-6.90194	-11.88819	2.54959	0.12035	2.85317	3.43903	-5.91722	-6.27015	-10.19978	-23.25968	0.90824	2.56420	-8.15333	-16.48824	-1.61243	-1.81050	-6.66697	-14.90536	1.15309	7.38084	-8.19096	-20.05804	0.42186	0.21320	-5.84571	-17.64362	0.42013	5.79312	-8.03239	-20.05934	0.93199	3.15457	-5.51536	-7.75843	-0.50151	1.84672	-6.96636	-26.60416	2.87288	4.61938	-6.21175	-17.11977	-0.74787	3.25975	-8.11181	-23.38369
6	1.10274	1.21961	3.68280	2.37585	-6.00178	0.62165	-15.51147	4.29221	0.33865	0.59205	3.67296	1.78520	-7.58527	0.51010	-17.77902	3.79788	-0.20540	4.03827	-6.96503	-18.17003	0.59241	3.48635	-7.84523	-14.30401	1.86275	5.03217	-6.20700	-12.52805	-0.54737	2.43545	-6.97257	-18.71148	-0.22679	3.64316	-5.34770	-21.92464	0.37980	-0.05158	3.84746	4.33120	-7.82012	-7.35215	-14.25514	-14.76475	0.99308	2.66262	-5.53344	-16.87235	0.76265	5.60761	-7.64591	-18.89857	1.61483	1.19664	-6.03638	-14.50554	0.35732	1.97875	-7.40044	-14.46675	0.78601	6.30909	-7.49165	-15.64602	0.25778	2.37687	-7.87219	-20.21254	1.93925	6.34553	-5.96454	-17.87491	0.81175	-0.13121	4.37558	2.92003	-7.94947	-7.76866	-18.38885	-20.51433	1.88464	7.16738	-5.49057	-13.30618	0.63724	0.90471	-6.30592	-11.08849	2.76143	0.39229	3.25186	3.96711	-5.70282	-6.08850	-9.42229	-22.96960	1.10101	2.88914	-7.98972	-15.71032	-1.38300	-1.50223	-6.32606	-14.33990	1.32045	7.73913	-8.06622	-17.95485	0.74902	0.69850	-5.50358	-16.62811	0.63836	6.25404	-7.83247	-18.72709	1.15975	3.64452	-5.31592	-6.93956	-0.35331	2.34828	-6.89224	-25.97412	3.11055	5.10459	-6.05171	-16.03337	-0.69562	3.59977	-8.06572	-22.71397
