	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.23744	0.05910	-0.17083	0.05086	-0.00086	0.01254	0.14259	0.21442	-0.16103	0.11230	-0.00461	0.01148	0.17658	-0.16191	-0.00047	0.24245	-0.14549	-0.01544	0.24850	-0.15822	0.00080	0.15523	-0.17245	-0.01125	0.17731	-0.08491	-0.01123	0.17712	-0.12992	-0.01585	0.18071	-0.15013	0.00292	0.11923	-0.15149	-0.00501	0.23164	-0.11901	-0.01251	0.27325	-0.17031	-0.01059	0.32545	-0.23356	0.01198	-0.26086	0.04124	-0.01638	0.36632	-0.26603	-0.00766	0.31629	-0.25800	0.01642	0.25045	-0.24644	0.01278	0.28442	-0.22519	0.01996	0.20327	-0.21358	0.00445
2	0.31074	0.06869	-0.16352	0.05493	-0.00906	0.01611	0.27019	0.11179	-0.17994	0.05893	-0.01690	0.01144	0.25315	-0.16290	-0.00949	0.30810	-0.13380	-0.02824	0.32834	-0.14718	-0.00338	0.22460	-0.15368	-0.03303	0.23688	-0.06126	-0.01985	0.22131	-0.10943	-0.03049	0.23346	-0.14703	-0.00043	0.14572	-0.13602	-0.01717	0.30117	-0.12350	-0.01303	0.33997	-0.16075	-0.02278	0.42332	-0.22406	0.00239	0.18402	-0.14166	-0.01939	0.45477	-0.24536	-0.02610	0.39406	-0.25831	0.01085	0.31984	-0.24486	0.00096	0.37513	-0.22628	0.01734	0.29550	-0.20232	-0.00919
3	0.38658	0.07418	-0.13601	0.05746	-0.02260	0.02059	0.36728	0.12374	-0.15882	0.05728	-0.03652	0.01175	0.33057	-0.14964	-0.02588	0.38410	-0.10541	-0.04565	0.40438	-0.11911	-0.00948	0.30253	-0.11197	-0.06323	0.30744	-0.01911	-0.03145	0.27812	-0.07304	-0.04943	0.29495	-0.12991	-0.00941	0.18167	-0.10659	-0.03428	0.36862	-0.10906	-0.01044	0.41629	-0.13020	-0.03913	0.51574	-0.18483	-0.01626	0.41020	-0.19038	-0.02780	0.54253	-0.19721	-0.05170	0.46589	-0.23583	-0.00282	0.39549	-0.22054	-0.02226	0.46185	-0.20100	0.00517	0.39566	-0.16517	-0.03362
4	0.45615	0.07833	-0.08035	0.06067	-0.03921	0.02685	0.44230	0.13958	-0.09886	0.05679	-0.06231	0.01216	0.40551	-0.11621	-0.04825	0.46369	-0.05372	-0.06435	0.45904	-0.06620	-0.01505	0.38288	-0.04024	-0.09649	0.37014	0.05111	-0.04412	0.33490	-0.01171	-0.06987	0.35812	-0.09204	-0.02263	0.22796	-0.05920	-0.05360	0.41334	-0.06154	-0.00353	0.49636	-0.07095	-0.05686	0.59991	-0.11130	-0.03975	0.49522	-0.14010	-0.04883	0.62470	-0.11914	-0.08102	0.53313	-0.18435	-0.02326	0.47733	-0.16834	-0.05451	0.53557	-0.13844	-0.01700	0.49372	-0.09465	-0.06601
5	0.51322	0.08019	0.00535	0.06401	-0.05485	0.03489	0.51785	0.14697	-0.01557	0.05729	-0.08863	0.01551	0.47232	-0.05911	-0.07232	0.53484	0.02455	-0.07863	0.49007	0.01018	-0.01640	0.46943	0.05832	-0.12592	0.42677	0.14524	-0.05484	0.39685	0.06878	-0.08781	0.41499	-0.03028	-0.03659	0.28888	0.00282	-0.07087	0.43266	0.02226	0.00856	0.56983	0.01986	-0.07069	0.66262	-0.00119	-0.06201	0.59174	-0.07309	-0.07205	0.69062	-0.01559	-0.11043	0.58693	-0.09867	-0.04725	0.55740	-0.08626	-0.09041	0.58491	-0.03228	-0.04722	0.58159	0.00992	-0.10018
6	0.55476	0.08693	0.11527	0.07101	-0.06496	0.04476	0.57826	0.14240	0.08837	0.05963	-0.11037	0.02251	0.52811	0.01918	-0.09250	0.58440	0.12762	-0.08277	0.49203	0.10613	-0.01011	0.55286	0.17915	-0.14624	0.46034	0.26009	-0.06071	0.45059	0.16382	-0.09890	0.46021	0.05332	-0.04673	0.35544	0.07452	-0.08190	0.43649	0.13446	0.02707	0.62615	0.13721	-0.07556	0.70286	0.13676	-0.07628	0.65643	0.02724	-0.09182	0.72327	0.10518	-0.13756	0.63122	0.01247	-0.06955	0.63192	0.01758	-0.12320	0.62765	0.10155	-0.08114	0.65193	0.14186	-0.12887
