	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.07072	0.02168	-0.03588	0.01495	0.00076	0.00755	-0.09594	0.04806	-0.03776	0.02193	0.01265	0.00982	-0.08756	-0.05291	-0.00096	-0.07830	-0.04577	0.00128	-0.08845	-0.04332	-0.00405	-0.09964	-0.06126	-0.00392	-0.08763	-0.04438	-0.00953	-0.08970	-0.01406	0.01918	-0.08793	-0.02971	-0.00461	-0.06529	-0.02521	0.01358	-0.03457	-0.01036	-0.00027	-0.04444	-0.02403	0.01897	-0.05989	-0.03196	0.00228	-0.03422	-0.02028	0.01377	-0.17725	-0.07129	-0.00631	-0.05408	-0.02292	0.00122	-0.10361	-0.04279	0.02131	-0.05538	-0.02806	0.00794	-0.10556	-0.05295	0.01437
2	-0.05004	0.03085	-0.03322	0.01945	-0.00456	0.01404	-0.09438	0.04248	-0.03056	0.02635	0.02100	0.01857	-0.08212	-0.05506	-0.00130	-0.05331	-0.04110	0.00091	-0.05926	-0.03974	-0.01200	-0.09999	-0.06461	-0.00733	-0.05914	-0.04304	-0.02335	-0.06308	0.00651	0.03102	-0.07293	-0.03601	-0.01462	-0.05421	-0.02030	0.02142	0.00828	-0.00194	-0.00916	-0.01000	-0.00109	0.03221	-0.03814	-0.02719	-0.00713	-0.07664	-0.01803	0.02739	-0.17171	-0.07018	-0.01586	-0.04463	-0.02959	-0.00836	-0.09463	-0.03507	0.03444	-0.03917	-0.02608	-0.00004	-0.10600	-0.04628	0.02757
3	-0.01207	0.04361	-0.02577	0.02630	-0.01413	0.02329	-0.07346	0.04891	-0.01873	0.03174	0.02909	0.03010	-0.06023	-0.05092	-0.00324	-0.01371	-0.03054	-0.00106	-0.00902	-0.03330	-0.02512	-0.08168	-0.06042	-0.01226	-0.01435	-0.03977	-0.04282	-0.01302	0.03206	0.04373	-0.04504	-0.04189	-0.02948	-0.02840	-0.00987	0.03016	0.07441	0.00937	-0.02532	0.04275	0.03009	0.04618	-0.00333	-0.01760	-0.02412	-0.08928	-0.01693	0.03901	-0.14972	-0.06605	-0.03102	-0.02096	-0.03210	-0.02346	-0.07240	-0.02160	0.04849	-0.00164	-0.01643	-0.01472	-0.08796	-0.03002	0.04418
4	0.04520	0.05859	-0.01298	0.03384	-0.02743	0.03449	-0.02937	0.05671	0.00058	0.03796	0.03641	0.04294	-0.01860	-0.03983	-0.00682	0.04138	-0.01431	-0.00441	0.06352	-0.02302	-0.04240	-0.04503	-0.04798	-0.01880	0.04683	-0.03315	-0.06580	0.05603	0.05961	0.05529	-0.00150	-0.04461	-0.04831	0.01239	0.00613	0.03893	0.16372	0.02212	-0.04899	0.11378	0.06543	0.05958	0.05100	-0.00140	-0.04726	-0.04795	0.00620	0.04933	-0.10771	-0.05947	-0.04940	0.02158	-0.02856	-0.04296	-0.03741	-0.00364	0.06185	0.06050	0.00249	-0.03553	-0.05159	-0.00534	0.06246
5	0.11946	0.07532	0.00500	0.04119	-0.04283	0.04636	0.02670	0.06212	0.02308	0.04303	0.04319	0.05508	0.04275	-0.02169	-0.01110	0.11167	0.00775	-0.00828	0.15483	-0.00873	-0.06184	0.00307	-0.02965	-0.02689	0.12003	-0.02349	-0.08989	0.13252	0.08608	0.06557	0.05587	-0.04133	-0.06899	0.06353	0.02647	0.04757	0.27119	0.03695	-0.07778	0.20305	0.10230	0.07071	0.12683	0.02255	-0.07335	0.00371	0.03272	0.05949	-0.04378	-0.04866	-0.06687	0.08256	-0.01828	-0.06409	0.00626	0.01726	0.07282	0.14227	0.02864	-0.05958	-0.00204	0.02460	0.08054
6	0.20604	0.09283	0.02909	0.04795	-0.05831	0.05796	0.09036	0.06382	0.04887	0.04619	0.04990	0.06507	0.11998	0.00290	-0.01459	0.19453	0.03638	-0.01182	0.26035	0.01166	-0.08175	0.05522	-0.00709	-0.03624	0.20718	-0.00579	-0.11328	0.20702	0.11242	0.07480	0.12300	-0.02926	-0.08960	0.12074	0.05129	0.05648	0.38523	0.05747	-0.10861	0.30862	0.14206	0.07981	0.22041	0.05406	-0.09850	0.06940	0.06385	0.06854	0.04031	-0.03024	-0.07995	0.15719	-0.00149	-0.08385	0.05163	0.03968	0.08212	0.23470	0.05903	-0.08296	0.05307	0.05620	0.09741
