	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_4_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_5_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d	2014_06_23_CR013_BAREFOOT_GAIT0004_6_CINE_E&D.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-0.02097	0.01658	0.01666	0.00912	0.00398	0.00555	-0.06903	0.02361	0.00046	0.01340	-0.00816	0.00733	-0.03622	0.01012	0.00013	-0.04314	0.00944	-0.00057	-0.03603	0.01529	0.00113	-0.03164	0.02019	0.00446	-0.01339	0.01614	0.00635	-0.05146	-0.00487	-0.00667	-0.01963	0.02516	0.00928	-0.04484	-0.00367	-0.00837	-0.01941	0.01152	0.00588	-0.03073	-0.00224	-0.00842	0.00218	0.02487	0.00598	-0.06862	-0.01674	-0.01796	-0.11218	0.02325	0.00445	0.00910	0.02859	0.00867	-0.07243	0.00626	-0.00890	-0.01170	0.02413	0.01083	-0.06466	-0.00149	-0.01149
2	-0.00990	0.01882	0.01622	0.00998	0.00498	0.00647	-0.06811	0.02537	-0.00356	0.01491	-0.01137	0.00962	-0.03562	0.01057	0.00028	-0.03317	0.01072	0.00039	-0.02500	0.01284	0.00107	-0.02761	0.02307	0.00715	0.00194	0.01739	0.00743	-0.03819	-0.01051	-0.00957	-0.00389	0.02639	0.01135	-0.04683	-0.01146	-0.01524	-0.00292	0.01076	0.00689	-0.01688	-0.00650	-0.00975	0.01620	0.02114	0.00745	-0.07176	-0.01375	-0.01631	-0.11103	0.02506	0.00696	0.01699	0.02817	0.01025	-0.07167	0.00068	-0.01387	0.00109	0.02384	0.01232	-0.06916	-0.01135	-0.02018
3	0.00840	0.02147	0.01366	0.01172	0.00570	0.00695	-0.06167	0.02992	-0.00982	0.01831	-0.01479	0.01318	-0.02752	0.01071	0.00059	-0.01750	0.01009	0.00166	-0.00636	0.00763	-0.00025	-0.01382	0.02524	0.01027	0.02100	0.01544	0.00736	-0.01412	-0.01879	-0.01201	0.01725	0.02678	0.01317	-0.04394	-0.02096	-0.02232	0.02273	0.00729	0.00718	0.00540	-0.01396	-0.00953	0.03358	0.01417	0.00781	-0.08054	-0.01368	-0.01617	-0.10060	0.02546	0.00929	0.03176	0.02589	0.01108	-0.06531	-0.00688	-0.01827	0.02584	0.02100	0.01331	-0.06551	-0.02406	-0.02929
4	0.03368	0.02548	0.00711	0.01454	0.00532	0.00711	-0.04430	0.03338	-0.01980	0.02198	-0.01829	0.01612	-0.01160	0.00855	0.00067	0.00326	0.00521	0.00264	0.01964	-0.00206	-0.00377	0.00745	0.02465	0.01329	0.03969	0.00753	0.00481	0.01763	-0.02946	-0.01357	0.04313	0.02456	0.01385	-0.03546	-0.03214	-0.02856	0.05598	-0.00140	0.00510	0.03493	-0.02610	-0.00782	0.05887	0.00310	0.00639	-0.06168	-0.02302	-0.01899	-0.07857	0.02216	0.01003	0.05552	0.02041	0.01049	-0.05393	-0.01680	-0.02141	0.06362	0.01371	0.01290	-0.05380	-0.03954	-0.03725
5	0.06369	0.03101	-0.00500	0.01835	0.00297	0.00781	-0.02180	0.03552	-0.03248	0.02443	-0.02094	0.01750	0.01029	0.00188	-0.00003	0.02911	-0.00570	0.00268	0.05095	-0.01698	-0.01019	0.03086	0.02001	0.01553	0.05717	-0.00681	-0.00070	0.04949	-0.04211	-0.01454	0.07085	0.01816	0.01260	-0.02370	-0.04484	-0.03347	0.09372	-0.01717	-0.00104	0.07172	-0.04435	-0.00586	0.09210	-0.01369	0.00226	-0.03747	-0.03492	-0.02063	-0.04240	0.01329	0.00824	0.08560	0.00963	0.00761	-0.03959	-0.02883	-0.02245	0.10822	-0.00002	0.00983	-0.03713	-0.05747	-0.04282
6	0.09671	0.03710	-0.02299	0.02309	-0.00182	0.00999	0.00430	0.03796	-0.04784	0.02557	-0.02269	0.01754	0.03533	-0.01056	-0.00195	0.06041	-0.02311	0.00122	0.08720	-0.03681	-0.01954	0.05195	0.01091	0.01627	0.08047	-0.02734	-0.00928	0.07752	-0.05604	-0.01493	0.09814	0.00694	0.00901	-0.00953	-0.05880	-0.03714	0.13201	-0.03987	-0.01188	0.11652	-0.06979	-0.00560	0.13151	-0.03631	-0.00465	-0.00520	-0.05078	-0.02039	0.00956	-0.00132	0.00408	0.11903	-0.00678	0.00227	-0.02597	-0.04258	-0.02173	0.15125	-0.02012	0.00409	-0.02059	-0.07752	-0.04605
