	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_5_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_5_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_5_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_5_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_6_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_6_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_6_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_6_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_2_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_2_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_2_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_2_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d
	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_curto	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LFT_PROG_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RFT_PROG_ANG_longo
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Y	Y	Y	Z	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z	Y	Y	Y	Z
1	-1.14387	1.15863	-0.76700	1.44621	-1.96058	1.07412	-17.51615	2.60042	-1.40480	0.32603	-3.58994	2.80301	-2.77692	1.07437	-15.08471	1.74534	-2.82588	-1.04063	-3.89089	-13.62538	-1.07651	-2.99644	-3.23217	-16.55995	-0.19029	1.34799	-1.36418	-20.15392	-1.27486	-3.18781	-3.96297	-15.19614	-2.29211	-1.95708	-1.73768	-10.17071	-1.09193	-3.55683	-1.87351	-11.43165	-1.62718	-1.70991	-0.85227	-21.70016	-1.60159	-5.23965	-1.83153	-10.87345	-1.86334	0.04621	-0.90878	-17.84390	-1.08301	-3.09470	-1.04575	-13.74716	-0.98293	0.18291	-1.79305	-15.71312	0.00398	-0.87199	-1.84180	-7.53051	-2.67156	-2.81789	-1.34554	-18.58013	-1.84152	-4.33029	-3.02340	-10.86473	-2.00148	-1.34068	-3.39644	-15.58926	-2.38974	-0.46476	-1.86751	-14.78406	-0.24482	-0.73399	-3.39518	-10.19231	-0.66061	-1.46855	-4.38642	-16.97974	-1.82104	-0.55598	-2.79963	-3.50888	-0.22542	-2.65094	-0.56422	-11.88615	0.63239	1.75675	-3.00673	-14.15068	-2.07603	-10.41914	-3.17644	-17.16093
2	-0.99944	1.26078	-0.61407	1.45818	-1.96993	1.09488	-16.76696	2.81000	-1.21626	0.26810	-3.38115	2.72913	-2.78310	0.91606	-15.08753	1.70213	-2.64404	-0.91188	-3.97390	-11.40715	-0.84113	-2.59473	-3.31939	-16.18672	0.07491	1.71234	-1.42926	-19.51785	-1.13210	-3.33803	-3.89880	-15.23449	-1.99683	-2.16483	-1.47177	-10.04552	-0.89844	-3.27473	-2.08663	-12.01757	-1.29003	-1.57124	-0.88645	-20.71873	-1.39057	-5.00780	-2.18586	-11.13243	-1.53525	-0.04187	-0.85334	-17.54753	-0.85031	-2.83470	-1.38664	-14.04630	-0.74032	0.02344	-1.58203	-15.64690	0.17769	-0.60162	-1.72153	-7.45546	-2.29153	-2.10359	-1.71804	-17.95654	-1.60886	-4.37977	-2.94749	-10.94444	-2.07804	-1.48901	-3.51609	-14.95216	-2.06659	0.11054	-2.04562	-14.76523	-0.00967	-0.45374	-3.31780	-10.04034	-0.50434	-1.43536	-4.11884	-17.47560	-1.70561	-0.40779	-2.83038	-3.78581	0.17083	-2.50240	-0.50983	-10.49918	0.88410	1.97742	-2.82244	-13.50589	-1.70376	-9.89102	-2.84798	-17.24970
3	-0.80921	1.36477	-0.49234	1.48875	-1.89080	1.12439	-16.02502	2.90193	-0.97848	0.20812	-3.13798	2.63119	-2.83463	0.77664	-14.97405	1.59298	-2.40824	-0.84607	-3.91294	-9.65682	-0.58461	-2.21167	-3.40905	-15.84977	0.37579	1.97418	-1.39611	-18.75982	-0.94307	-3.40597	-3.82854	-15.09645	-1.64668	-2.32018	-1.14808	-10.11940	-0.65904	-2.94440	-2.36346	-12.70110	-0.87506	-1.40472	-0.86841	-19.71946	-1.11526	-4.70435	-2.54905	-11.34065	-1.15129	-0.01182	-0.76387	-17.02043	-0.55637	-2.57919	-1.70417	-14.27879	-0.43886	-0.07626	-1.31718	-15.68923	0.38827	-0.32093	-1.78147	-7.12765	-1.88607	-1.47798	-1.97341	-17.11242	-1.28731	-4.35321	-2.92634	-11.15670	-2.08969	-1.73088	-3.52859	-14.44275	-1.72499	0.61743	-2.19100	-14.67183	0.26648	-0.21739	-3.32363	-9.86120	-0.32517	-1.37806	-3.88582	-17.83511	-1.50453	-0.33022	-2.85953	-4.12883	0.61697	-2.34137	-0.33885	-9.29952	1.15900	2.03978	-2.39169	-12.80843	-1.27593	-9.26460	-2.57480	-17.18128
4	-0.56838	1.46324	-0.37870	1.52379	-1.69903	1.16330	-15.28892	2.86864	-0.69425	0.15572	-2.85646	2.50799	-2.89954	0.66892	-14.71961	1.42311	-2.12101	-0.81042	-3.67671	-8.39633	-0.31152	-1.86418	-3.46418	-15.53788	0.71581	2.15724	-1.22051	-17.88878	-0.70933	-3.37504	-3.74056	-14.76368	-1.23940	-2.36589	-0.78677	-10.28570	-0.37074	-2.58049	-2.64159	-13.36794	-0.38625	-1.19626	-0.75032	-18.74036	-0.77634	-4.32992	-2.87961	-11.42337	-0.71354	0.17004	-0.65306	-16.26320	-0.19978	-2.30219	-1.92353	-14.39747	-0.07809	-0.07033	-0.99726	-15.79565	0.63711	-0.03728	-1.97321	-6.57539	-1.45652	-0.94976	-2.04942	-16.09509	-0.88189	-4.23212	-2.93415	-11.44565	-2.02660	-2.06860	-3.40796	-14.02920	-1.36944	1.03429	-2.25905	-14.47308	0.57532	-0.01606	-3.38795	-9.61013	-0.12486	-1.27847	-3.67800	-18.00088	-1.20902	-0.31255	-2.82976	-4.47824	1.11205	-2.13156	-0.02853	-8.30184	1.45832	1.99938	-1.72905	-12.07478	-0.79885	-8.54890	-2.37262	-16.91092
5	-0.27259	1.55114	-0.24409	1.56266	-1.37940	1.20062	-14.56128	2.73302	-0.36758	0.13971	-2.52797	2.36116	-2.93222	0.59762	-14.33197	1.22226	-1.78611	-0.76322	-3.25395	-7.58628	-0.02159	-1.55290	-3.43842	-15.24357	1.09870	2.30069	-0.87561	-16.93699	-0.43468	-3.23793	-3.60845	-14.26185	-0.77370	-2.25698	-0.41606	-10.44727	-0.02554	-2.16869	-2.85629	-13.92169	0.16877	-0.92892	-0.49724	-17.83018	-0.37416	-3.88195	-3.11777	-11.34459	-0.22609	0.50628	-0.51473	-15.32309	0.22236	-1.96269	-1.99575	-14.38024	0.34058	0.07128	-0.63082	-15.90293	0.92467	0.23920	-2.20714	-5.86915	-1.00158	-0.51145	-1.90218	-14.98743	-0.40188	-4.00493	-2.92545	-11.74447	-1.88122	-2.47861	-3.12420	-13.66478	-0.99952	1.36107	-2.20693	-14.16094	0.91138	0.16784	-3.45988	-9.26976	0.09836	-1.11992	-3.47623	-17.95392	-0.81780	-0.32150	-2.65283	-4.77016	1.65771	-1.84027	0.41276	-7.49778	1.78535	1.93248	-0.89105	-11.33831	-0.27667	-7.75775	-2.23687	-16.42857
6	0.08068	1.62497	-0.06142	1.61213	-0.92628	1.21839	-13.85138	2.53377	-0.00258	0.18633	-2.14475	2.19676	-2.86935	0.56005	-13.85187	1.03657	-1.40929	-0.66320	-2.65872	-7.13944	0.28970	-1.26351	-3.28445	-14.96271	1.52638	2.44440	-0.35608	-15.95639	-0.12347	-2.99915	-3.38614	-13.65728	-0.25371	-1.96924	-0.06374	-10.53281	0.38653	-1.68053	-2.92415	-14.30684	0.77590	-0.59166	-0.09164	-17.04500	0.08925	-3.36133	-3.18406	-11.12016	0.30321	0.97118	-0.31892	-14.28706	0.71193	-1.52143	-1.88191	-14.23421	0.81265	0.35611	-0.22829	-15.94983	1.24923	0.49450	-2.36502	-5.09867	-0.52023	-0.14661	-1.51140	-13.88855	0.14016	-3.66514	-2.83746	-11.99171	-1.64852	-2.90790	-2.66126	-13.30271	-0.61100	1.61670	-2.00061	-13.75210	1.27247	0.35480	-3.46286	-8.85000	0.34826	-0.89171	-3.24493	-17.71395	-0.33864	-0.30876	-2.23051	-4.95519	2.25460	-1.44649	0.95752	-6.86420	2.14336	1.90843	0.04826	-10.63942	0.28771	-6.91401	-2.12250	-15.76878
