	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_5_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_5_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_5_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_5_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_6_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_6_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_6_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_6_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_2_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_2_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_2_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_2_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d
	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	R_PELVIS_ANG_curto	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	L_PELVIS_ANG_curto	LHIP_ANG	LKNEE_ANG	LVFT_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	4.97337	1.07499	-14.01586	2.38696	11.74437	4.11546	-4.32419	1.74600	8.96831	3.59118	-17.38273	2.34780	9.84596	4.58179	-0.32714	1.87788	5.42694	-15.19117	13.42577	-4.45715	11.85918	-18.19145	4.11781	1.61221	4.08869	-17.53523	10.01493	-5.18333	7.04160	-15.23565	8.37235	-0.03113	2.60429	-10.00607	13.99356	-4.53388	6.89811	-13.72782	12.20356	-1.75415	2.20945	-14.29513	7.73566	-5.88776	13.00303	-15.92354	9.06385	-1.07983	0.29828	-11.13760	9.37535	-4.56265	9.72804	-22.34319	13.44473	1.22358	3.94374	-11.16726	8.21356	-4.85662	12.28620	-18.20492	10.23453	3.31535	3.42161	-13.94477	8.38986	-3.47224	9.12191	-17.33127	16.46275	-2.85059	5.87047	-15.00067	14.42844	-7.97328	0.14114	-12.62064	11.94266	-2.14061	9.63158	-19.11457	15.08968	-0.52076	9.84823	-16.69981	7.09750	-1.63548	5.82036	-17.24193	22.15834	-1.82367	5.60967	-14.32303	13.06010	-4.82742	6.89409	-15.72678	8.19427	-2.17166	17.48410	-17.05511	2.37286	-1.55057
2	5.23490	1.22109	-13.22031	2.73641	11.09923	4.43051	-4.26774	1.73467	9.08413	3.46570	-17.03355	2.25478	8.94703	4.52108	-0.12639	1.84948	5.69321	-13.75921	13.66951	-4.30351	11.90149	-18.34658	4.14887	1.90044	4.20202	-16.41076	9.09832	-5.05441	7.18965	-14.78995	7.75410	-0.06258	2.99061	-8.43570	11.62132	-4.07463	6.99671	-13.66522	11.01472	-1.36422	2.65996	-13.34958	7.20636	-5.83320	13.05959	-16.12871	8.87925	-1.07939	0.65675	-9.76046	8.01454	-4.80396	9.94846	-21.62968	12.24312	1.05854	4.31218	-9.85339	6.60002	-4.96954	12.47274	-18.41962	10.03576	3.50076	3.52782	-14.10035	8.74062	-3.36305	9.48137	-16.73868	15.30516	-2.82863	6.33238	-15.53515	15.26134	-7.93637	0.22659	-12.74339	11.45428	-1.71469	9.66032	-18.42595	13.83938	0.00617	9.95911	-16.05773	5.47369	-1.36799	6.24800	-17.44289	22.00940	-2.21931	5.86098	-12.86439	12.44866	-4.68413	7.19355	-14.38845	7.06641	-2.25607	17.23639	-16.13335	0.77626	-1.02699
3	5.47989	1.39785	-12.04708	3.01246	10.15578	4.62117	-4.32817	1.75806	9.12006	3.35205	-16.59454	2.11954	8.08450	4.35849	0.01989	1.83353	5.87998	-11.82495	12.96028	-4.16109	11.87261	-18.26097	4.05454	2.02397	4.28172	-14.72126	7.94379	-5.15899	7.25146	-14.23338	7.23273	-0.08914	3.33304	-6.97007	9.23107	-3.67440	6.99068	-13.68444	9.94928	-1.05078	2.96149	-12.04227	6.53460	-5.88667	13.00387	-16.31352	8.81568	-1.12194	0.97895	-8.25574	6.93257	-5.23719	10.06857	-20.61487	10.92615	0.77123	4.58204	-8.44961	4.94311	-5.19819	12.54274	-18.42488	9.97943	3.62461	3.56485	-13.72596	8.88381	-3.36795	9.77292	-16.04615	13.86280	-2.76906	6.82501	-15.45773	15.39163	-8.04193	0.24473	-12.48799	10.78429	-1.39606	9.64357	-17.54811	12.26723	0.66138	10.00105	-15.42697	4.16029	-1.27337	6.58562	-16.91874	21.14514	-2.71675	6.05271	-11.12073	11.32821	-4.47670	7.45828	-12.58992	5.79081	-2.62208	16.92628	-15.39211	-0.40317	-0.57796
4	5.70116	1.60991	-10.55077	3.14072	9.06967	4.57576	-4.58157	1.82142	9.06617	3.26051	-16.04029	1.94972	7.35284	4.10892	0.04004	1.83344	5.96984	-9.53108	11.54285	-4.12258	11.77130	-17.89390	3.88232	1.91550	4.31670	-12.60044	6.76248	-5.56429	7.21335	-13.54312	6.85494	-0.15723	3.60564	-5.65611	7.13301	-3.47511	6.87591	-13.68210	9.05988	-0.87639	3.09038	-10.39059	5.80526	-6.13542	12.82031	-16.34621	8.83329	-1.22482	1.23824	-6.68712	6.30080	-5.94840	10.07285	-19.31610	9.65902	0.27501	4.72440	-7.03481	3.44894	-5.59536	12.49232	-18.13500	10.03947	3.61191	3.53867	-12.75284	8.84752	-3.63199	9.97412	-15.30232	12.29650	-2.70542	7.34271	-14.77532	14.86445	-8.29401	0.19186	-11.79640	10.02808	-1.31479	9.57614	-16.54131	10.63343	1.30326	9.96150	-14.80355	3.31246	-1.44162	6.79436	-15.64925	19.56220	-3.22948	6.19819	-9.22895	9.92454	-4.32350	7.69392	-10.50639	4.61588	-3.34392	16.57002	-14.83929	-1.04286	-0.29979
5	5.89023	1.85690	-8.80247	3.08836	8.04300	4.25559	-5.13410	1.90653	8.91845	3.19726	-15.32138	1.74733	6.80163	3.78310	-0.14110	1.85181	5.95200	-7.03129	9.76591	-4.31215	11.59675	-17.22608	3.68558	1.52950	4.29893	-10.20809	5.77713	-6.33959	7.06944	-12.67713	6.63497	-0.34499	3.79078	-4.50334	5.62698	-3.66644	6.65306	-13.52553	8.35852	-0.91139	3.04127	-8.44078	5.14880	-6.69811	12.50238	-16.08075	8.87226	-1.43974	1.41092	-5.09001	6.23527	-7.03671	9.95428	-17.72888	8.54600	-0.49367	4.72053	-5.66450	2.33183	-6.23415	12.32860	-17.43897	10.12338	3.38405	3.45386	-11.17043	8.74576	-4.34602	10.07010	-14.50040	10.74189	-2.69458	7.87092	-13.55640	13.81312	-8.69299	0.06470	-10.64830	9.33218	-1.62725	9.45548	-15.41837	9.17906	1.73717	9.83174	-14.16246	2.97719	-1.91198	6.85084	-13.65372	17.38969	-3.75627	6.30884	-7.31788	8.54286	-4.40232	7.90918	-8.34486	3.80649	-4.49719	16.18255	-14.45526	-1.10259	-0.26534
6	6.03917	2.13036	-6.88525	2.86553	7.28492	3.69958	-6.09521	1.99315	8.68075	3.16394	-14.37751	1.53416	6.44652	3.39530	-0.60427	1.88474	5.82595	-4.47705	8.01820	-4.85662	11.35114	-16.26098	3.51088	0.85151	4.22692	-7.69355	5.16823	-7.54270	6.82354	-11.58560	6.55603	-0.74860	3.88387	-3.50707	4.95491	-4.42942	6.33023	-13.08162	7.85019	-1.25632	2.83088	-6.29212	4.72498	-7.68749	12.05894	-15.38836	8.89594	-1.87671	1.48239	-3.45850	6.75077	-8.57773	9.71646	-15.83828	7.65381	-1.59927	4.56779	-4.37005	1.78879	-7.20715	12.07170	-16.23565	10.11088	2.87368	3.31728	-9.03896	8.72906	-5.67210	10.05687	-13.59119	9.31872	-2.82888	8.38547	-11.92443	12.44455	-9.24315	-0.13811	-9.07123	8.87788	-2.49009	9.28291	-14.15737	8.10705	1.74449	9.61009	-13.45734	3.08204	-2.66099	6.75469	-11.00231	14.89539	-4.40603	6.39537	-5.49868	7.50313	-4.90333	8.11625	-6.28904	3.56317	-6.12667	15.77752	-14.17872	-0.62037	-0.54154
