	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d
	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	LFT_PROG_ANG	LFT_PROG_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	RFT_PROG_ANG	RFT_PROG_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	LVFT_ANG	LFT_PROG_ANG	LFT_PROG_ANG	LFT_PROG_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	RFT_PROG_ANG	RFT_PROG_ANG	RFT_PROG_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	LFT_PROG_ANG	LFT_PROG_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	RFT_PROG_ANG	RFT_PROG_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	LFT_PROG_ANG	LFT_PROG_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	RFT_PROG_ANG	RFT_PROG_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	LFT_PROG_ANG	LFT_PROG_ANG	R_PELVIS_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	RVFT_ANG	RFT_PROG_ANG	RFT_PROG_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	LFT_PROG_ANG	LFT_PROG_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	RFT_PROG_ANG	RFT_PROG_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	16.60069	5.97990	-12.63249	2.03984	-7.19060	1.19737	-4.43620	2.17888	-8.66253	6.96174	-13.50156	4.86155	34.11840	1.94252	-16.58631	0.96675	-1.93151	0.65786	-0.06469	3.66375	5.78280	12.21744	8.96212	-9.07210	-14.62381	-11.46496	-8.20690	-8.99955	-7.31020	-6.76500	-7.02751	-8.21856	-19.70613	-17.47759	-18.73805	-6.88668	-11.83302	31.73562	31.67678	-16.29233	-17.65443	-2.79762	-2.46745	0.35808	-0.74718	-3.47715	24.28420	21.49986	-15.09643	-10.96182	-6.93280	-6.20542	-3.42710	-5.40898	-1.10138	-4.69124	-18.95810	-16.83801	33.25804	33.63908	-14.54823	-16.69213	-2.56599	-1.96927	-1.64085	-3.06610	13.93040	23.20478	-10.74102	-15.81906	-4.78006	-7.12697	-3.55030	-4.45126	-5.46775	-8.61568	-5.73548	-15.04093	36.04276	32.09618	-15.49856	-16.56365	-1.96941	-2.25988	3.53278	-1.17490	20.75742	19.86926	-12.59255	-13.58579	-7.02708	-6.20929	-1.01837	-3.25556	-0.36982	-3.31624	-7.97223	-19.70997	-15.86653	37.73058	35.12749	35.41626	-17.36069	-17.54612	-17.52080	-1.83155	-1.40205	-1.84823	7.93322	-4.59894	16.62102	15.47827	-12.68014	-12.31971	-7.73802	-8.56036	-3.05660	-2.61898	-8.85496	-6.94902	-16.82991	-12.84626	35.16243	33.41715	-16.77083	-16.00159	-1.77008	-0.36504	3.21845	-1.04894
2	17.23928	6.07157	-13.12300	2.30281	-7.06571	1.16099	-4.31675	2.06997	-8.00640	6.86676	-13.06293	4.83818	34.74935	1.74861	-17.00306	1.01519	-2.28710	0.67744	-0.19474	3.64551	6.13168	12.80417	9.43870	-9.10833	-14.97390	-12.14734	-8.49302	-8.84283	-6.95713	-6.01097	-6.78876	-7.84234	-18.85270	-16.72215	-17.99267	-6.39270	-11.16475	32.80248	32.60938	-16.52396	-17.83408	-3.17238	-2.96952	-0.00740	-1.11175	-3.89440	24.92398	22.01387	-15.90382	-11.15756	-6.49959	-5.98397	-3.63336	-5.94111	-0.57741	-4.37081	-18.42172	-16.49410	34.27682	34.47697	-14.94143	-17.08154	-3.02854	-2.47929	-1.24876	-3.14777	14.55397	23.93698	-10.72021	-16.67633	-5.05669	-7.09640	-3.19700	-4.33255	-4.52202	-8.41018	-5.43919	-14.75846	36.53833	32.66224	-15.91460	-16.96382	-2.28010	-2.58187	3.30937	-1.18159	21.50524	20.54550	-13.55154	-14.50731	-6.72573	-6.10043	-1.07867	-3.15299	0.25868	-2.97886	-7.68090	-19.22354	-15.21882	37.91140	35.54781	36.09221	-18.10178	-17.90014	-18.20246	-1.93822	-1.72560	-2.10106	7.99233	-4.63220	17.73910	16.03885	-12.46122	-13.14544	-7.90629	-8.06075	-3.17078	-2.33577	-7.86362	-6.03865	-16.58089	-12.31719	35.63686	33.68835	-17.23075	-16.33912	-2.05808	-0.82348	2.64748	-0.86749
3	17.69526	6.15235	-13.81592	2.49896	-7.02510	1.15633	-4.18002	1.91579	-7.53935	6.70139	-12.65240	4.80342	35.45697	1.46452	-17.79308	1.03764	-2.55431	0.76895	-0.07243	3.65516	6.28238	13.24216	9.76318	-9.32853	-15.21027	-12.81757	-8.91574	-8.81292	-6.91872	-5.03186	-6.44937	-7.24883	-18.06787	-16.00297	-17.34161	-5.94917	-10.52189	34.03247	33.71490	-17.18300	-18.34728	-3.43798	-3.47777	-0.21289	-1.27506	-4.12465	25.35496	22.27472	-16.70394	-12.08071	-6.37826	-5.75608	-3.73590	-6.38898	-0.29150	-4.33792	-17.92507	-16.11975	35.43867	35.30264	-15.75439	-17.73462	-3.57414	-2.92285	-0.58278	-2.87978	14.98203	24.46596	-10.90328	-17.78487	-5.39768	-6.99124	-2.98871	-4.32084	-3.89198	-8.29981	-5.19725	-14.49511	37.18151	33.66105	-16.79046	-17.82562	-2.39300	-2.72322	3.40113	-0.86652	22.07762	21.03873	-14.56512	-15.41343	-6.50790	-6.18660	-1.20937	-3.06315	0.60754	-2.81335	-7.43811	-18.77472	-14.58188	37.88532	35.87960	36.81621	-19.09664	-18.53055	-19.26815	-1.91141	-2.01701	-2.18432	8.28316	-4.40005	18.64517	16.52089	-13.05384	-14.11358	-7.78851	-7.62250	-3.42508	-2.11811	-7.19773	-5.29568	-16.31708	-11.85641	36.03637	34.07789	-18.05778	-17.13538	-2.37743	-1.07830	2.40044	-0.53968
4	17.93271	6.21531	-14.58802	2.63197	-7.26055	1.13626	-3.93780	1.75035	-7.26198	6.49965	-12.30536	4.75634	36.20338	1.17494	-18.92972	1.00980	-2.57785	0.90789	0.32175	3.69945	6.23283	13.49996	9.89971	-9.70298	-15.38033	-13.38721	-9.47051	-8.97108	-7.33067	-3.95386	-5.98616	-6.43194	-17.41502	-15.37748	-16.81978	-5.59926	-9.94016	35.32340	34.90871	-18.27457	-19.23229	-3.46283	-3.79919	-0.25660	-1.21435	-4.15654	25.54472	22.23442	-17.35597	-13.41999	-6.76250	-5.93621	-3.61299	-6.46711	-0.20798	-4.51489	-17.47573	-15.73874	36.62396	36.06697	-17.03950	-18.71330	-3.97368	-3.04478	0.34498	-2.21737	15.17896	24.75554	-11.27577	-19.01396	-5.88796	-7.05129	-2.88906	-4.30981	-3.59390	-8.28845	-5.02813	-14.26018	37.89113	34.99179	-18.02592	-19.07676	-2.22693	-2.55638	3.83079	-0.19749	22.44760	21.31814	-15.47124	-16.20762	-6.64636	-6.57616	-1.21786	-2.90259	0.72361	-2.76493	-7.27958	-18.41292	-14.00690	37.73250	36.20818	37.57381	-20.25670	-19.45782	-20.56233	-1.62679	-2.09578	-2.03995	8.82383	-3.88643	19.25062	16.89728	-14.20976	-15.04345	-7.79978	-7.43350	-3.57610	-1.96833	-6.84653	-4.77641	-16.08748	-11.52985	36.32906	34.58774	-19.28163	-18.30605	-2.44701	-1.08306	2.54184	-0.07339
5	17.93382	6.25682	-15.24805	2.72748	-7.87461	1.06805	-3.59554	1.59743	-7.15402	6.31039	-12.05541	4.70000	36.98479	1.00912	-20.18224	0.90484	-2.39005	1.00430	0.98277	3.78415	5.99707	13.55703	9.82232	-10.09835	-15.49036	-13.77448	-10.13498	-9.35337	-8.17263	-2.97143	-5.43808	-5.51172	-16.97026	-14.91067	-16.46694	-5.37730	-9.45830	36.57598	36.12863	-19.52841	-20.35771	-3.37836	-3.87163	-0.14307	-0.91544	-3.98721	25.48180	21.88270	-17.71189	-14.73476	-7.64272	-6.67503	-3.32429	-6.18619	-0.27136	-4.80252	-17.08826	-15.38883	37.76625	36.77588	-18.69447	-19.90838	-4.00890	-2.75791	1.48585	-1.15939	15.13045	24.78048	-11.74756	-20.13617	-6.64233	-7.52407	-2.80434	-4.20823	-3.58928	-8.36582	-4.94892	-14.06400	38.57894	36.49382	-19.28197	-20.40446	-1.93946	-2.18235	4.57964	0.81991	22.61193	21.36705	-16.08619	-16.72040	-7.28435	-7.32339	-1.03536	-2.66618	0.67885	-2.77387	-7.23364	-18.17928	-13.53689	37.64406	36.69816	38.36582	-21.35009	-20.52294	-21.72168	-1.15041	-1.95916	-1.84890	9.61322	-3.09643	19.49686	17.14428	-15.50883	-15.71949	-8.27239	-7.59545	-3.49686	-1.90821	-6.74684	-4.47553	-15.95170	-11.38243	36.63744	35.16771	-20.71827	-19.51624	-2.16163	-1.03181	3.09864	0.51472
6	17.70805	6.27743	-15.60912	2.77836	-8.72254	0.95678	-3.35637	1.47638	-7.18016	6.16824	-11.92295	4.64190	37.81490	1.00256	-21.16069	0.75988	-2.24953	1.01629	1.87443	3.90792	5.61089	13.41120	9.52536	-10.37272	-15.51054	-13.92438	-10.78545	-9.86060	-9.19815	-2.32075	-4.96413	-4.75953	-16.77182	-14.63554	-16.29181	-5.29654	-9.10924	37.69017	37.33449	-20.47921	-21.41714	-3.54614	-3.85314	0.11670	-0.37883	-3.62394	25.18713	21.25939	-17.69089	-15.63008	-8.70895	-7.68821	-3.16372	-5.93826	-0.42390	-5.11616	-16.78253	-15.11295	38.86995	37.46489	-20.35848	-20.99440	-3.71973	-2.26484	2.75111	0.23949	14.85189	24.53577	-12.15751	-20.89761	-7.64952	-8.40267	-2.73032	-4.11938	-3.80074	-8.50607	-4.96415	-13.91354	39.17170	37.98106	-20.11473	-21.35569	-1.86690	-1.91891	5.58367	2.13207	22.59238	21.18967	-16.27094	-16.76931	-8.23686	-8.28417	-0.89350	-2.54094	0.52786	-2.80061	-7.30940	-18.09258	-13.19587	37.83637	37.51371	39.18884	-22.03281	-21.38320	-22.33871	-0.78867	-1.85670	-1.92653	10.61503	-2.06231	19.37720	17.24767	-16.49639	-15.97996	-9.10384	-8.02955	-3.45693	-2.03256	-6.82172	-4.34127	-15.95362	-11.42201	37.17415	35.73851	-21.93478	-20.35841	-1.77248	-1.23077	4.04358	1.20216
