	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_03_PC009_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_3.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_3.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_3.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_3.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_3.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_3.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_4.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_4.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_4.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_4.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_4.c3d	2014_04_03_PC009_BAREFOOT_GAIT0001_4.c3d	2014_04_03_PC009_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC009_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC009_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC009_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC009_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC009_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC009_BAREFOOT_GAIT0002_4.c3d	2014_04_03_PC009_BAREFOOT_GAIT0002_4.c3d	2014_04_03_PC009_BAREFOOT_GAIT0002_4.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_5.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_5.c3d	2014_04_03_PC009_BAREFOOT_GAIT0003_5.c3d	2014_04_03_PC009_BAREFOOT_GAIT0004_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0004_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0004_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0004_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0004_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0004_2.c3d	2014_04_03_PC009_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC009_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC009_BAREFOOT_GAIT0004_4.c3d
	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	2.73626	0.43860	9.56986	0.56323	-4.84029	0.52983	0.03583	0.57768	0.17857	0.68764	-3.35352	0.85130	-0.01913	-0.10789	-2.90586	2.66381	9.49070	-4.79942	0.56157	0.63000	-3.21726	3.18063	9.21830	-5.27939	-0.21797	-0.82683	-2.97661	2.57475	10.05291	-5.49824	0.13394	-0.45561	-3.99830	-0.11839	0.32113	-4.58331	3.14814	8.73102	-4.25892	0.01913	-0.29614	-2.77452	0.42140	0.66544	-2.39080	2.72592	10.43374	-4.71405	-1.17080	-0.31354	-2.76301	3.22353	9.04739	-4.91872	-0.25506	0.77628	-2.99321	1.95591	9.92554	-5.29253	1.00363	1.39290	-4.93234	2.41741	9.65926	-3.96105
2	2.69197	0.44657	9.55926	0.56396	-4.98399	0.51200	0.05850	0.58000	0.51012	0.70728	-3.69120	0.91695	-0.05160	0.33739	-3.07981	2.64241	9.62515	-4.96778	0.56086	1.00325	-3.42387	3.12876	9.23419	-5.37331	-0.20471	-0.41037	-3.33699	2.50896	10.01203	-5.57332	0.21416	-0.26413	-4.27882	-0.08913	0.44104	-5.01980	3.15537	8.73809	-4.42420	0.08745	-0.10092	-3.05089	0.36101	1.12343	-2.81106	2.70926	10.40817	-4.77839	-1.13729	0.09755	-3.11290	3.15430	8.92469	-5.06703	-0.23401	1.17272	-3.31147	1.91538	9.88490	-5.52737	1.07828	1.70127	-5.48638	2.32134	9.64687	-4.16052
3	2.65940	0.44617	9.52910	0.54678	-5.14274	0.44896	0.09245	0.59671	0.80868	0.66443	-4.11365	0.82365	-0.08437	0.77056	-3.38578	2.61621	9.72159	-5.20195	0.56369	1.33314	-3.74021	3.07668	9.20640	-5.51601	-0.17471	0.08137	-3.85844	2.42889	9.87484	-5.62753	0.30428	-0.05702	-4.75270	0.00583	0.46612	-5.25146	3.17243	8.75877	-4.65954	0.15815	0.17674	-3.61584	0.29670	1.43181	-3.31147	2.69787	10.32884	-4.85309	-1.11640	0.57034	-3.69666	3.10729	8.83762	-5.21914	-0.22531	1.56309	-3.82323	1.93647	9.85538	-5.61778	1.19663	1.75067	-5.70069	2.23936	9.64931	-4.44686
4	2.66266	0.44483	9.52359	0.51304	-5.27329	0.35184	0.14870	0.62853	1.04176	0.60209	-4.54431	0.57531	-0.10345	1.16521	-3.81679	2.60157	9.80716	-5.47521	0.59230	1.57858	-4.12590	3.05385	9.19004	-5.68888	-0.11345	0.63835	-4.45789	2.35533	9.71493	-5.66956	0.41447	0.17230	-5.36113	0.16988	0.32488	-5.15244	3.21833	8.82355	-4.92424	0.23784	0.50202	-4.37891	0.24817	1.58830	-3.84082	2.71195	10.26284	-4.93636	-1.09558	1.07005	-4.44776	3.12517	8.85151	-5.28640	-0.21799	1.91031	-4.48365	2.03245	9.82007	-5.42096	1.35484	1.46762	-5.37782	2.20263	9.71865	-4.78472
5	2.72462	0.45289	9.57507	0.48154	-5.31092	0.38527	0.23969	0.67074	1.18447	0.66866	-4.86371	0.53371	-0.09012	1.49470	-4.30326	2.61708	9.91462	-5.72683	0.67452	1.72347	-4.49536	3.09391	9.23586	-5.83557	-0.00768	1.21889	-5.03555	2.31714	9.61589	-5.70345	0.55204	0.40227	-5.93806	0.39505	-0.02353	-4.60597	3.31205	8.94500	-5.13434	0.33730	0.80589	-5.13875	0.23960	1.61420	-4.28511	2.77495	10.28271	-5.03602	-1.05462	1.54605	-5.23701	3.23998	8.97206	-5.13138	-0.19177	2.18919	-5.18987	2.19701	9.73811	-4.79973	1.54254	0.87358	-4.40817	2.24486	9.89628	-5.12003
6	2.85622	0.47356	9.68445	0.49161	-5.17160	0.71240	0.37443	0.71294	1.21375	0.91104	-4.93729	1.09584	-0.02611	1.72616	-4.71315	2.67912	10.05867	-5.85693	0.82976	1.75964	-4.73186	3.22125	9.35006	-5.82555	0.14880	1.73058	-5.49339	2.34100	9.62005	-5.69678	0.71775	0.56577	-6.27150	0.66525	-0.53227	-3.52535	3.45955	9.08956	-5.15084	0.46834	0.98718	-5.63537	0.29101	1.50910	-4.49884	2.90635	10.42889	-5.14279	-0.97262	1.91821	-5.88729	3.44869	9.14738	-4.61626	-0.12217	2.36303	-5.76730	2.40773	9.61269	-3.74290	1.74431	0.11009	-2.84887	2.38602	10.16828	-5.34077
