	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_24_PC019_BAREFOOT_GAIT0004_02.c3d	2014_06_24_PC019_BAREFOOT_GAIT0004_02.c3d	2014_06_24_PC019_BAREFOOT_GAIT0004_02.c3d	2014_06_24_PC019_BAREFOOT_GAIT0004_02.c3d	2014_06_24_PC019_BAREFOOT_GAIT0004_02.c3d	2014_06_24_PC019_BAREFOOT_GAIT0004_02.c3d	2014_06_24_PC019_BAREFOOT_GAIT0004_02.c3d	2014_06_24_PC019_BAREFOOT_GAIT0004_02.c3d	2014_06_24_PC019_BAREFOOT_GAIT0004_03.c3d	2014_06_24_PC019_BAREFOOT_GAIT0004_03.c3d	2014_06_24_PC019_BAREFOOT_GAIT0004_03.c3d	2014_06_24_PC019_BAREFOOT_GAIT0004_03.c3d	2014_06_24_PC019_BAREFOOT_GAIT0004_03.c3d	2014_06_24_PC019_BAREFOOT_GAIT0004_03.c3d	2014_06_24_PC019_BAREFOOT_GAIT0004_03.c3d	2014_06_24_PC019_BAREFOOT_GAIT0004_03.c3d	2014_06_24_PC019_BAREFOOT_GAIT0005_01.c3d	2014_06_24_PC019_BAREFOOT_GAIT0005_01.c3d	2014_06_24_PC019_BAREFOOT_GAIT0005_01.c3d	2014_06_24_PC019_BAREFOOT_GAIT0005_01.c3d	2014_06_24_PC019_BAREFOOT_GAIT0005_01.c3d	2014_06_24_PC019_BAREFOOT_GAIT0005_01.c3d	2014_06_24_PC019_BAREFOOT_GAIT0005_01.c3d	2014_06_24_PC019_BAREFOOT_GAIT0005_01.c3d	2014_06_24_PC019_BAREFOOT_GAIT0005_02.c3d	2014_06_24_PC019_BAREFOOT_GAIT0005_02.c3d	2014_06_24_PC019_BAREFOOT_GAIT0005_02.c3d	2014_06_24_PC019_BAREFOOT_GAIT0005_02.c3d	2014_06_24_PC019_BAREFOOT_GAIT0005_02.c3d	2014_06_24_PC019_BAREFOOT_GAIT0005_02.c3d	2014_06_24_PC019_BAREFOOT_GAIT0005_02.c3d	2014_06_24_PC019_BAREFOOT_GAIT0005_02.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_01.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_01.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_01.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_01.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_01.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_01.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_01.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_01.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_02.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_02.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_02.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_02.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_02.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_02.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_02.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_02.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_03.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_03.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_03.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_03.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_03.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_03.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_03.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_03.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_05.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_05.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_05.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_05.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_05.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_05.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_05.c3d	2014_06_24_PC019_BAREFOOT_GAIT0006_05.c3d	2014_06_24_PC019_BAREFOOT_GAIT0007_05.c3d	2014_06_24_PC019_BAREFOOT_GAIT0007_05.c3d	2014_06_24_PC019_BAREFOOT_GAIT0007_05.c3d	2014_06_24_PC019_BAREFOOT_GAIT0007_05.c3d	2014_06_24_PC019_BAREFOOT_GAIT0007_05.c3d	2014_06_24_PC019_BAREFOOT_GAIT0007_05.c3d	2014_06_24_PC019_BAREFOOT_GAIT0007_05.c3d	2014_06_24_PC019_BAREFOOT_GAIT0007_05.c3d
	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	15.36714	0.79340	47.63934	1.13783	26.80793	1.53012	-0.39730	0.60063	18.06583	0.58450	50.41716	0.94472	26.44973	1.86360	0.96856	0.80674	14.28846	46.43088	25.57038	-0.82733	18.14011	50.19744	26.20551	1.62206	14.70008	47.54506	27.30903	-0.24347	17.96444	51.11780	29.73761	2.43159	16.12431	47.47168	26.69399	-0.28792	17.22703	49.77045	25.86922	1.29316	15.28008	47.22169	29.65614	0.97576	17.56542	49.81350	29.11402	0.66622	16.09939	48.45831	26.27777	-0.64723	17.63879	48.93702	24.14000	0.44472	15.08222	47.25154	26.75656	-0.70553	17.97133	50.51342	26.97280	1.06231	16.54957	50.04609	28.46226	-0.05363	19.19839	52.11934	25.40901	1.18998	14.50807	46.26421	26.01003	-0.81300	18.39836	50.08645	25.56652	0.35528	15.67204	48.06461	24.53527	-0.97332	18.48859	51.19904	25.03291	-0.34828
2	15.64795	0.77323	47.75908	1.20014	26.88402	1.61746	-0.37174	0.74986	18.17018	0.57934	50.41283	0.96719	26.26326	1.82343	0.74251	0.89300	14.63351	46.62712	25.60323	-0.84807	18.15833	50.24159	26.08238	1.34376	15.01452	47.60215	27.48118	-0.20612	18.04524	51.17889	29.70698	2.47439	16.35275	47.57781	26.58751	-0.34478	17.39651	49.70610	26.19734	1.19152	15.54872	47.31723	29.59324	1.32996	17.60844	49.56977	28.46290	0.68565	16.47123	48.81538	26.71503	-0.53219	17.76560	49.12292	24.01647	0.07649	15.44950	47.26402	27.05560	-0.59262	18.15024	50.31271	26.79315	0.76553	16.77123	50.25732	28.75555	-0.01319	19.29543	52.21700	25.15854	0.74418	14.73909	46.25576	25.93459	-0.77678	18.43899	50.14371	24.97078	0.01542	15.85097	48.11491	24.23023	-1.36188	18.67283	51.22272	24.98081	-0.61436
3	16.00796	0.75588	47.85234	1.24878	27.40003	1.68367	-0.10641	0.93523	18.33744	0.57635	50.41594	0.99386	26.62126	1.77414	0.71819	0.99905	15.02283	46.77271	26.12591	-0.65832	18.24114	50.30945	26.52985	1.21853	15.43616	47.61725	27.98370	0.01751	18.18108	51.21276	30.18983	2.71663	16.66400	47.67764	26.94135	-0.13545	17.64050	49.62410	26.93417	1.31130	15.88814	47.41204	30.02988	1.95495	17.71137	49.28988	28.31200	0.98665	16.89980	49.14068	27.63593	-0.12689	17.95851	49.40436	24.57379	-0.08925	15.89892	47.20643	27.59027	-0.27380	18.42286	50.12215	27.06357	0.71538	17.06611	50.38016	29.40737	0.27653	19.43991	52.29740	25.46961	0.37620	15.06618	46.28498	26.39301	-0.44344	18.51375	50.24213	25.09045	-0.15113	16.12950	48.17914	24.49279	-1.56879	18.92787	51.24120	25.42810	-0.62055
4	16.44799	0.73928	47.94078	1.28280	28.31056	1.72483	0.43120	1.13370	18.57848	0.58586	50.44657	1.04358	27.46711	1.70162	0.99592	1.11456	15.45933	46.87924	27.06394	-0.22966	18.40859	50.39929	27.45752	1.35699	15.96401	47.63993	28.81875	0.47777	18.39058	51.23464	31.10479	3.20906	17.05658	47.78501	27.72014	0.37692	17.97259	49.56843	28.04092	1.73478	16.30082	47.51222	30.91399	2.84024	17.86659	48.97628	28.61115	1.59775	17.37494	49.43351	28.96677	0.59261	18.21538	49.77005	25.74250	0.08702	16.42205	47.12040	28.34140	0.27384	18.79405	49.99477	27.75704	1.01373	17.44468	50.44187	30.36988	0.84706	19.65091	52.38614	26.28679	0.23697	15.49369	46.37083	27.32608	0.21112	18.63950	50.38896	25.86428	-0.00546	16.51585	48.28399	25.27412	-1.50908	19.26817	51.30054	26.33901	-0.26754
5	16.95857	0.72165	48.06067	1.30619	29.57898	1.74195	1.25802	1.31068	18.89604	0.61537	50.52327	1.12947	28.72349	1.60348	1.62455	1.20167	15.94178	46.98426	28.36016	0.46905	18.67320	50.51303	28.75336	1.82398	16.58171	47.73141	30.00393	1.23369	18.68325	51.26328	32.34330	3.93821	17.51946	47.92411	28.88690	1.20488	18.39329	49.57790	29.47243	2.48414	16.78227	47.62687	32.15304	3.93879	18.06568	48.64088	29.28722	2.49055	17.87938	49.71089	30.63792	1.62453	18.53277	50.20266	27.42435	0.69414	16.99663	47.06867	29.34455	1.07173	19.25144	49.97250	28.83892	1.69131	17.90605	50.50215	31.63058	1.71012	19.94020	52.51662	27.55112	0.47158	16.01241	46.53037	28.66022	1.16693	18.82902	50.58415	27.18082	0.54675	17.00747	48.46728	26.53353	-1.09758	19.69551	51.43842	27.65991	0.48028
6	17.51805	0.70231	48.24230	1.32442	31.15382	1.72278	2.36321	1.42813	19.28039	0.66484	50.64399	1.25282	30.27574	1.48574	2.57431	1.22418	16.46039	47.13189	29.96390	1.45195	19.03424	50.64133	30.27754	2.59245	17.25603	47.93280	31.52258	2.31188	19.05515	51.29991	33.76116	4.82973	18.02955	48.11388	30.38361	2.32619	18.88624	49.65687	31.13702	3.51947	17.32006	47.75629	33.61359	5.17970	18.29725	48.29846	30.24460	3.59539	18.39069	49.98812	32.55585	2.92377	18.90090	50.66586	29.47879	1.71965	17.58756	47.10559	30.64368	2.13655	19.76525	50.05954	30.23556	2.70191	18.43489	50.62286	33.17056	2.84485	20.30572	52.70529	29.18018	1.14196	16.59807	46.76770	30.29542	2.36746	19.08498	50.80873	28.87349	1.49306	17.58518	48.76154	28.23520	-0.27342	20.19378	51.65993	29.29331	1.57519
