	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d
	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RKNEE_ANG	RKNEE_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.43300	1.10513	0.66513	1.03281	18.69489	1.56993	-1.37534	1.77878	-8.52240	1.49138	6.84207	1.11333	0.49798	1.19000	0.51073	1.37907	-1.41277	0.91367	1.05080	1.65102	0.79630	-1.08617	20.02682	16.00571	19.54594	18.96494	18.93103	-2.36312	-0.90137	-3.13831	0.90145	-8.89985	-9.57396	-9.29171	-6.32408	7.92709	7.50316	5.43060	6.50742
2	1.14633	1.23646	1.99785	1.00890	17.37529	1.73777	-1.05967	1.67579	-7.76874	1.62605	7.33637	1.52330	1.42209	2.01339	1.00161	2.19138	-0.89681	2.33896	2.03115	2.62607	2.73280	0.26025	18.53492	14.58299	19.08030	17.22073	17.45753	-1.89285	-0.81247	-2.70288	1.16953	-8.58149	-8.87405	-8.26062	-5.35879	9.27001	7.77445	5.82044	6.48060
3	1.88086	1.32455	3.79261	1.20641	16.94681	1.47346	-0.81127	1.54741	-6.88300	1.68774	7.20899	1.26955	2.39568	2.85721	1.50075	2.91241	-0.26177	4.16088	3.69269	3.88246	5.28742	1.93961	17.09935	14.72095	18.81264	17.36968	16.73142	-1.34756	-0.72720	-2.42725	1.25692	-7.71690	-8.13843	-7.26858	-4.40809	8.71823	7.79597	6.25002	6.07173
4	2.56835	1.38516	5.46065	1.38900	17.55912	1.40180	-0.65997	1.40919	-6.16962	1.60375	6.76282	0.83054	3.27952	3.60773	2.02094	3.55819	0.37538	5.64677	5.41303	5.26545	7.44358	3.53444	16.72125	15.76590	18.96267	18.95365	17.39214	-0.88436	-0.66304	-2.26108	1.16857	-6.79273	-7.47464	-6.57774	-3.83336	7.40983	7.50217	6.33715	5.80212
5	3.17975	1.42029	6.54950	1.24810	18.47881	1.24349	-0.67409	1.32563	-5.89855	1.42563	6.60084	0.75902	3.87562	4.13774	2.57852	4.34921	0.95764	6.34319	6.54211	6.62417	8.37588	4.86215	17.40627	16.88712	19.56959	19.07373	19.45734	-0.71256	-0.65469	-2.28779	0.95870	-6.39618	-7.02897	-6.35859	-3.81045	7.49576	6.96545	5.94568	5.99645
6	3.68373	1.40133	7.00826	0.82227	18.87261	1.89960	-0.88450	1.39506	-6.03977	1.26696	6.65753	1.45882	4.13381	4.46154	3.15268	5.14121	1.52942	6.49896	6.92835	7.83419	7.81957	5.96023	17.24973	17.38741	20.23702	17.98197	21.50690	-0.82593	-0.73700	-2.68932	0.71424	-6.46515	-6.92019	-6.61304	-4.16071	8.66837	6.41853	5.17402	6.36921
