	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2016_05_24_PC028_BAREFOOT_GAIT0001_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_3.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_3.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_3.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_4.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_4.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_4.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_2.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.16260	0.09475	-0.03303	0.06067	0.00977	0.03226	-0.10934	0.08407	0.02600	0.06913	0.01856	0.01006	-0.15890	-0.09541	-0.03235	-0.11353	0.03107	0.04324	-0.16878	-0.02288	0.01144	-0.04989	0.07488	0.02568	-0.08804	-0.00093	0.03364	-0.12669	0.00066	0.01926	-0.32582	-0.10055	-0.01492
2	-0.17186	0.11141	-0.02848	0.07157	0.02618	0.03705	-0.10892	0.08728	0.03018	0.06177	0.03367	0.00659	-0.17861	-0.09846	-0.02754	-0.11804	0.03583	0.05790	-0.17064	-0.01350	0.02901	-0.04721	0.07385	0.03833	-0.08609	0.00738	0.05186	-0.11471	0.02611	0.04590	-0.36183	-0.11328	0.00277
3	-0.17578	0.13444	-0.02803	0.09173	0.03559	0.04350	-0.09256	0.10786	0.02262	0.05700	0.04429	0.00096	-0.20457	-0.11041	-0.03038	-0.11811	0.03435	0.06191	-0.16882	-0.01769	0.04496	-0.01629	0.06293	0.04361	-0.07228	0.01939	0.06929	-0.08600	0.05915	0.06473	-0.39796	-0.14262	0.01239
4	-0.16940	0.15926	-0.03281	0.11347	0.03577	0.04772	-0.05736	0.13369	-0.00187	0.04626	0.04714	0.01207	-0.22968	-0.12218	-0.03681	-0.10841	0.01767	0.05061	-0.15189	-0.03458	0.05568	0.03717	0.03084	0.03860	-0.05262	0.02728	0.07937	-0.03635	0.09285	0.07129	-0.41992	-0.17967	0.01437
5	-0.15415	0.18439	-0.05030	0.13321	0.02876	0.04948	-0.01107	0.15969	-0.05016	0.02495	0.04483	0.02229	-0.25268	-0.14061	-0.04509	-0.08367	-0.01632	0.03138	-0.12399	-0.06781	0.06059	0.10185	-0.03252	0.02906	-0.03441	0.02520	0.08074	0.02670	0.10712	0.06527	-0.42669	-0.22690	0.01150
6	-0.12777	0.20680	-0.07749	0.14503	0.01934	0.04760	0.02670	0.17334	-0.11039	0.00076	0.04176	0.02772	-0.26339	-0.16393	-0.05059	-0.04086	-0.05764	0.01094	-0.09587	-0.10986	0.06137	0.14927	-0.11093	0.02216	-0.01820	0.01308	0.07327	0.09798	0.09460	0.05273	-0.41438	-0.27358	0.01033
