	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2016_05_24_PC028_BAREFOOT_GAIT0001_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_3.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_3.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_3.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_4.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_4.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_4.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_2.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-0.08623	0.13092	0.02194	0.03743	0.00840	0.01234	-0.06788	0.07780	0.00659	0.04534	-0.01677	0.01639	-0.15118	0.06415	0.01704	0.03450	0.00977	0.02412	-0.12290	0.03865	-0.00518	-0.01286	-0.02547	-0.02835	-0.04381	-0.01238	-0.00729	0.01153	-0.01118	0.00269	-0.28221	0.05935	0.00545
2	-0.06890	0.14655	0.02282	0.04772	0.00921	0.01303	-0.04227	0.06901	-0.00166	0.04705	-0.02231	0.01801	-0.14663	0.07208	0.02118	0.05057	0.00183	0.01919	-0.09106	0.03161	-0.00957	0.00653	-0.03493	-0.03504	-0.01613	-0.01339	-0.00996	0.05466	-0.02270	0.00214	-0.28694	0.07627	0.01351
3	-0.04145	0.16905	0.02758	0.06295	0.01181	0.01602	-0.00707	0.07956	-0.01225	0.05404	-0.02831	0.02260	-0.15210	0.08723	0.02728	0.08175	-0.00341	0.01424	-0.06333	0.02596	-0.01233	0.04918	-0.05046	-0.04430	0.02696	-0.01775	-0.01110	0.11673	-0.03167	0.00326	-0.28058	0.10350	0.02535
4	0.00225	0.18677	0.03342	0.07768	0.01510	0.02044	0.04514	0.09658	-0.01994	0.06216	-0.03274	0.02881	-0.14698	0.10257	0.03387	0.12376	-0.00659	0.00666	-0.02315	0.02402	-0.01237	0.11343	-0.06389	-0.05311	0.07458	-0.02213	-0.00984	0.19935	-0.03800	0.00629	-0.23946	0.13125	0.03849
5	0.04954	0.19825	0.04077	0.09064	0.01837	0.02602	0.10138	0.10866	-0.02385	0.07363	-0.03705	0.03763	-0.13739	0.11914	0.04077	0.16779	-0.00795	-0.00313	0.02454	0.02821	-0.01044	0.17822	-0.07592	-0.06366	0.11539	-0.02454	-0.00670	0.27893	-0.04001	0.01018	-0.17701	0.15720	0.05074
6	0.09711	0.20297	0.04544	0.10050	0.01928	0.03208	0.14328	0.10764	-0.02689	0.08816	-0.04361	0.04825	-0.11631	0.13213	0.04548	0.22091	-0.01194	-0.01579	0.06717	0.03545	-0.00949	0.21940	-0.08923	-0.07773	0.14997	-0.02542	-0.00454	0.33959	-0.04267	0.01220	-0.10862	0.17509	0.05905
